parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
kDpEnsa	kDpEnsa	log10	0.025	0.1	0.05	0
kPhGw	kPhGw	log10	0.5	2	1	0
kDpGw1	kDpGw1	log10	0.125	0.5	0.25	0
kDpGw2	kDpGw2	log10	5	20	10	0
kWee1	kWee1	log10	0.005	0.02	0.01	0
kWee2	kWee2	log10	0.495	1.98	0.99	0
kPhWee	kPhWee	log10	0.5	2	1	0
kDpWee	kDpWee	log10	5	20	10	0
kCdc25_1	kCdc25_1	log10	0.05	0.2	0.1	0
kCdc25_2	kCdc25_2	log10	0.45	1.8	0.9	0
kPhCdc25	kPhCdc25	log10	0.5	2	1	0
kDpCdc25	kDpCdc25	log10	5	20	10	0
kDipEB55	kDipEB55	log10	0.0034	0.0136	0.0068	0
kAspEB55	kAspEB55	log10	28.5	114	57	0
fCb	fCb	log10	1	4	2	0
jiWee	jiWee	log10	0.05	0.2	0.1	0
fB55_wt	fB55_wt	log10	0.5	2	1	0
fB55_iWee	fB55_iWee	log10	0.45	1.8	0.9	0
fB55_Cb_low	fB55_Cb_low	log10	0.55	2.2	1.1	0
fB55_pGw_weak	fB55_pEnsa_weak	log10	0.5	2	1	0
kPhEnsa_wt	kPhEnsa_wt	log10	0.05	0.2	0.1	0
kPhEnsa_iWee	kPhEnsa_iWee	log10	0.05	0.2	0.1	0
kPhEnsa_Cb_low	kPhEnsa_Cb_low	log10	0.05	0.2	0.1	0
kPhEnsa_pGw_weak	kPhEnsa_pGw_weak	log10	0.045	0.18	0.09	0
